"","Gene.ID","Gene.Name","SubType","Main.Biotype"
"110","ENSMUSG00000097893","1700034P13Rik","antisense","Processed transcripts"
"111","ENSMUSG00000025915","Sgk3","protein_coding","Protein Coding Genes"
"112","ENSMUSG00000046334","Gm6195","processed_pseudogene","Pseudogenes"
"113","ENSMUSG00000088916","Gm22607","snRNA","Processed transcripts"
"114","ENSMUSG00000046101","Mcmdc2","protein_coding","Protein Coding Genes"
"115","ENSMUSG00000098234","Snhg6","lincRNA","Processed transcripts"
"116","ENSMUSG00000093178","Snord87","snoRNA","Processed transcripts"
"117","ENSMUSG00000099032","Tcf24","protein_coding","Protein Coding Genes"
"118","ENSMUSG00000104025","E330040D14Rik","TEC","To be Experimentally Confirmed"
"119","ENSMUSG00000025916","Ppp1r42","protein_coding","Protein Coding Genes"
"120","ENSMUSG00000087199","Gm15818","antisense","Processed transcripts"
"121","ENSMUSG00000095780","Gm24674","snRNA","Processed transcripts"
"122","ENSMUSG00000025917","Cops5","protein_coding","Protein Coding Genes"
"123","ENSMUSG00000056763","Cspp1","protein_coding","Protein Coding Genes"
"124","ENSMUSG00000102356","1700047N06Rik","TEC","To be Experimentally Confirmed"
"125","ENSMUSG00000067851","Arfgef1","protein_coding","Protein Coding Genes"
"126","ENSMUSG00000088153","Gm26348","misc_RNA","Processed transcripts"
"127","ENSMUSG00000102556","Gm37569","TEC","To be Experimentally Confirmed"
"128","ENSMUSG00000042501","Cpa6","protein_coding","Protein Coding Genes"
"129","ENSMUSG00000103810","Gm38005","TEC","To be Experimentally Confirmed"
"130","ENSMUSG00000083422","Gm15604","processed_pseudogene","Pseudogenes"
"131","ENSMUSG00000094979","Gm25253","snRNA","Processed transcripts"
"132","ENSMUSG00000081417","Gm15603","processed_pseudogene","Pseudogenes"
"133","ENSMUSG00000103448","Gm37133","TEC","To be Experimentally Confirmed"
"134","ENSMUSG00000100212","Gm5522","processed_pseudogene","Pseudogenes"
"135","ENSMUSG00000100648","Gm28659","processed_pseudogene","Pseudogenes"
"136","ENSMUSG00000088585","Gm22963","snoRNA","Processed transcripts"
"137","ENSMUSG00000048960","Prex2","protein_coding","Protein Coding Genes"
"138","ENSMUSG00000077318","Gm24173","snoRNA","Processed transcripts"
"139","ENSMUSG00000101827","Gm28686","processed_pseudogene","Pseudogenes"
"140","ENSMUSG00000103494","Gm37410","TEC","To be Experimentally Confirmed"
"141","ENSMUSG00000057715","A830018L16Rik","protein_coding","Protein Coding Genes"
"142","ENSMUSG00000103825","Gm38178","TEC","To be Experimentally Confirmed"
"143","ENSMUSG00000099845","Gm29273","processed_pseudogene","Pseudogenes"
"144","ENSMUSG00000103561","Gm38069","TEC","To be Experimentally Confirmed"
"145","ENSMUSG00000101610","Gm7560","processed_pseudogene","Pseudogenes"
"146","ENSMUSG00000093864","Gm22633","snRNA","Processed transcripts"
"147","ENSMUSG00000098555","Mir6341","miRNA","Processed transcripts"
"148","ENSMUSG00000097628","Gm2383","processed_pseudogene","Pseudogenes"
"149","ENSMUSG00000098163","Gm6216","processed_pseudogene","Pseudogenes"
"150","ENSMUSG00000097171","Gm17644","lincRNA","Processed transcripts"
"151","ENSMUSG00000101314","Gm29663","lincRNA","Processed transcripts"
"152","ENSMUSG00000016918","Sulf1","protein_coding","Protein Coding Genes"
"153","ENSMUSG00000025938","Slco5a1","protein_coding","Protein Coding Genes"
"154","ENSMUSG00000104518","Gm37162","TEC","To be Experimentally Confirmed"
"155","ENSMUSG00000069620","Gm5250","processed_pseudogene","Pseudogenes"
"156","ENSMUSG00000099498","Gm29283","lincRNA","Processed transcripts"
"157","ENSMUSG00000042414","Prdm14","protein_coding","Protein Coding Genes"
"158","ENSMUSG00000005886","Ncoa2","protein_coding","Protein Coding Genes"
"159","ENSMUSG00000103506","Gm38376","TEC","To be Experimentally Confirmed"
"160","ENSMUSG00000103495","Gm37409","TEC","To be Experimentally Confirmed"
"161","ENSMUSG00000099183","Gm27881","miRNA","Processed transcripts"
"162","ENSMUSG00000102639","Gm38223","TEC","To be Experimentally Confirmed"
"163","ENSMUSG00000104170","Gm37702","TEC","To be Experimentally Confirmed"
"164","ENSMUSG00000087782","Gm23169","snRNA","Processed transcripts"
"165","ENSMUSG00000103085","Gm38120","TEC","To be Experimentally Confirmed"
"166","ENSMUSG00000102664","Gm38380","TEC","To be Experimentally Confirmed"
"167","ENSMUSG00000101476","Gm29570","antisense","Processed transcripts"
"168","ENSMUSG00000101171","Gm7593","processed_pseudogene","Pseudogenes"
"169","ENSMUSG00000025935","Tram1","protein_coding","Protein Coding Genes"
"170","ENSMUSG00000025937","Lactb2","protein_coding","Protein Coding Genes"
"171","ENSMUSG00000102982","Gm38319","TEC","To be Experimentally Confirmed"
"172","ENSMUSG00000067813","Xkr9","protein_coding","Protein Coding Genes"
"173","ENSMUSG00000077368","Gm26273","snoRNA","Processed transcripts"
"174","ENSMUSG00000097711","Gm5523","processed_pseudogene","Pseudogenes"
"175","ENSMUSG00000102166","Gm36947","TEC","To be Experimentally Confirmed"
"176","ENSMUSG00000089358","Gm25491","misc_RNA","Processed transcripts"
"177","ENSMUSG00000104209","Gm37400","TEC","To be Experimentally Confirmed"
"178","ENSMUSG00000025932","Eya1","protein_coding","Protein Coding Genes"
"179","ENSMUSG00000095853","Gm22616","miRNA","Processed transcripts"
"180","ENSMUSG00000102588","Gm37444","TEC","To be Experimentally Confirmed"
"181","ENSMUSG00000054493","Gm9947","antisense","Processed transcripts"
"182","ENSMUSG00000025930","Msc","protein_coding","Protein Coding Genes"
"183","ENSMUSG00000103492","Gm37412","TEC","To be Experimentally Confirmed"
"184","ENSMUSG00000081201","Smt3h2-ps4","processed_pseudogene","Pseudogenes"
"185","ENSMUSG00000082193","Rpl5-ps1","processed_pseudogene","Pseudogenes"
"186","ENSMUSG00000032769","Trpa1","protein_coding","Protein Coding Genes"
"187","ENSMUSG00000088159","Gm26345","snoRNA","Processed transcripts"
"188","ENSMUSG00000073737","Gm10566","processed_pseudogene","Pseudogenes"
"189","ENSMUSG00000092083","Kcnb2","protein_coding","Protein Coding Genes"
"190","ENSMUSG00000102937","Gm38116","TEC","To be Experimentally Confirmed"
"191","ENSMUSG00000104149","Gm37138","TEC","To be Experimentally Confirmed"
"192","ENSMUSG00000088829","Gm25227","snoRNA","Processed transcripts"
"193","ENSMUSG00000077377","Gm25168","snoRNA","Processed transcripts"
"194","ENSMUSG00000101652","Gm6060","processed_pseudogene","Pseudogenes"
"195","ENSMUSG00000100814","Gm28669","processed_pseudogene","Pseudogenes"
"196","ENSMUSG00000025925","Terf1","protein_coding","Protein Coding Genes"
"197","ENSMUSG00000104379","Gm37509","TEC","To be Experimentally Confirmed"
"198","ENSMUSG00000032719","Sbspon","protein_coding","Protein Coding Genes"
"199","ENSMUSG00000088943","Gm23259","misc_RNA","Processed transcripts"
"200","ENSMUSG00000100652","Gm7634","processed_pseudogene","Pseudogenes"
"201","ENSMUSG00000067795","4930444P10Rik","protein_coding","Protein Coding Genes"
"202","ENSMUSG00000043716","Rpl7","protein_coding","Protein Coding Genes"
"203","ENSMUSG00000025921","Rdh10","protein_coding","Protein Coding Genes"
"204","ENSMUSG00000104165","Gm38249","TEC","To be Experimentally Confirmed"
"205","ENSMUSG00000100868","Gm28095","antisense","Processed transcripts"
"206","ENSMUSG00000025920","Stau2","protein_coding","Protein Coding Genes"
"207","ENSMUSG00000089982","Gm7568","antisense","Processed transcripts"
"208","ENSMUSG00000025939","Ube2w","protein_coding","Protein Coding Genes"
"209","ENSMUSG00000102457","Gm38342","TEC","To be Experimentally Confirmed"
"210","ENSMUSG00000079658","Eloc","protein_coding","Protein Coding Genes"
"211","ENSMUSG00000097744","D030040B21Rik","lincRNA","Processed transcripts"
"212","ENSMUSG00000100959","Gm7654","processed_pseudogene","Pseudogenes"
"213","ENSMUSG00000025940","Tmem70","protein_coding","Protein Coding Genes"
"214","ENSMUSG00000025779","Ly96","protein_coding","Protein Coding Genes"
"215","ENSMUSG00000100093","Gm29649","processed_pseudogene","Pseudogenes"
"216","ENSMUSG00000091020","Gm5828","processed_pseudogene","Pseudogenes"
"217","ENSMUSG00000101640","Gm28376","antisense","Processed transcripts"
"218","ENSMUSG00000104133","4921511E07Rik","TEC","To be Experimentally Confirmed"
"219","ENSMUSG00000042686","Jph1","protein_coding","Protein Coding Genes"
"220","ENSMUSG00000100110","Gm28783","lincRNA","Processed transcripts"
"221","ENSMUSG00000025777","Gdap1","protein_coding","Protein Coding Genes"
"222","ENSMUSG00000099899","Gm28784","lincRNA","Processed transcripts"
"223","ENSMUSG00000100272","Gm28785","processed_pseudogene","Pseudogenes"
"224","ENSMUSG00000100398","Gm5251","processed_pseudogene","Pseudogenes"
"225","ENSMUSG00000101589","Rbm6-ps1","processed_pseudogene","Pseudogenes"
"226","ENSMUSG00000102048","Gm6075","processed_pseudogene","Pseudogenes"
"227","ENSMUSG00000089534","Gm25166","snoRNA","Processed transcripts"
"228","ENSMUSG00000067780","Pi15","protein_coding","Protein Coding Genes"
"229","ENSMUSG00000100053","Gm28154","antisense","Processed transcripts"
"230","ENSMUSG00000085125","Gm16070","antisense","Processed transcripts"
"231","ENSMUSG00000025776","Crispld1","protein_coding","Protein Coding Genes"
"232","ENSMUSG00000099895","Gm28153","antisense","Processed transcripts"
"233","ENSMUSG00000100554","Gm7690","processed_pseudogene","Pseudogenes"
"234","ENSMUSG00000099473","Gm18775","transcribed_unprocessed_pseudogene","Pseudogenes"
"235","ENSMUSG00000099591","Gm17969","processed_pseudogene","Pseudogenes"
"236","ENSMUSG00000109887","Gm28756","processed_transcript","Processed transcripts"
"237","ENSMUSG00000102001","Gm28755","unprocessed_pseudogene","Pseudogenes"
"238","ENSMUSG00000101717","Gm45784","transcribed_unprocessed_pseudogene","Pseudogenes"
"239","ENSMUSG00000025774","Crisp4","protein_coding","Protein Coding Genes"
"240","ENSMUSG00000070977","Defb44-ps","unprocessed_pseudogene","Pseudogenes"
"241","ENSMUSG00000073735","Defb18","protein_coding","Protein Coding Genes"
"242","ENSMUSG00000067773","Defb41","protein_coding","Protein Coding Genes"
"243","ENSMUSG00000101685","Gm17837","processed_pseudogene","Pseudogenes"
"244","ENSMUSG00000101306","Gm5252","processed_pseudogene","Pseudogenes"
"245","ENSMUSG00000088800","Gm24075","snoRNA","Processed transcripts"
"246","ENSMUSG00000101644","Gm28343","processed_pseudogene","Pseudogenes"
"247","ENSMUSG00000099433","Gm28344","processed_pseudogene","Pseudogenes"
"248","ENSMUSG00000089787","Gm15825","antisense","Processed transcripts"
"249","ENSMUSG00000042596","Tfap2d","protein_coding","Protein Coding Genes"
"250","ENSMUSG00000100720","Gm10075","processed_pseudogene","Pseudogenes"
"251","ENSMUSG00000025927","Tfap2b","protein_coding","Protein Coding Genes"
"252","ENSMUSG00000100538","Gm28340","lincRNA","Processed transcripts"
"253","ENSMUSG00000101117","Gm28341","processed_pseudogene","Pseudogenes"
"254","ENSMUSG00000100204","Gm4849","processed_pseudogene","Pseudogenes"
"255","ENSMUSG00000084668","Gm24633","snoRNA","Processed transcripts"
"256","ENSMUSG00000102597","Gm38382","TEC","To be Experimentally Confirmed"
"257","ENSMUSG00000043760","Pkhd1","protein_coding","Protein Coding Genes"
"258","ENSMUSG00000104095","Gm37315","TEC","To be Experimentally Confirmed"
"259","ENSMUSG00000089914","4930486I03Rik","antisense","Processed transcripts"
"260","ENSMUSG00000090142","Gm15795","processed_pseudogene","Pseudogenes"
"261","ENSMUSG00000070175","Gm24162","snRNA","Processed transcripts"
"262","ENSMUSG00000099906","Gm28653","lincRNA","Processed transcripts"
"263","ENSMUSG00000065559","Mir206","miRNA","Processed transcripts"
"264","ENSMUSG00000065480","Mir133b","miRNA","Processed transcripts"
"265","ENSMUSG00000025929","Il17a","protein_coding","Protein Coding Genes"
"266","ENSMUSG00000041872","Il17f","protein_coding","Protein Coding Genes"
"267","ENSMUSG00000041859","Mcm3","protein_coding","Protein Coding Genes"
"268","ENSMUSG00000099714","Gm20587","processed_pseudogene","Pseudogenes"
"269","ENSMUSG00000102121","Gm28065","lincRNA","Processed transcripts"
"270","ENSMUSG00000088858","Gm24723","snoRNA","Processed transcripts"
"271","ENSMUSG00000097934","6720483E21Rik","lincRNA","Processed transcripts"
"272","ENSMUSG00000025931","Paqr8","protein_coding","Protein Coding Genes"
"273","ENSMUSG00000077314","Gm24171","snoRNA","Processed transcripts"
"274","ENSMUSG00000100929","Gm28064","processed_pseudogene","Pseudogenes"
"275","ENSMUSG00000041809","Efhc1","protein_coding","Protein Coding Genes"
"276","ENSMUSG00000041779","Tram2","protein_coding","Protein Coding Genes"
"277","ENSMUSG00000099971","Gm28287","antisense","Processed transcripts"
"278","ENSMUSG00000100819","Gm2693","unprocessed_pseudogene","Pseudogenes"
"279","ENSMUSG00000025933","Tmem14a","protein_coding","Protein Coding Genes"
"280","ENSMUSG00000102633","Gm38224","TEC","To be Experimentally Confirmed"
"281","ENSMUSG00000025934","Gsta3","protein_coding","Protein Coding Genes"
"282","ENSMUSG00000099343","Gm28836","antisense","Processed transcripts"
"283","ENSMUSG00000096375","Gm7094","unprocessed_pseudogene","Pseudogenes"
"284","ENSMUSG00000025936","Gm4956","transcribed_unprocessed_pseudogene","Pseudogenes"
"285","ENSMUSG00000093963","Gm21909","unprocessed_pseudogene","Pseudogenes"
"286","ENSMUSG00000067750","Khdc1a","protein_coding","Protein Coding Genes"
"287","ENSMUSG00000086194","Gm16329","unprocessed_pseudogene","Pseudogenes"
"288","ENSMUSG00000094436","Gm16327","processed_pseudogene","Pseudogenes"
"289","ENSMUSG00000041722","Khdc1c","protein_coding","Protein Coding Genes"
"290","ENSMUSG00000085507","Gm2709","unprocessed_pseudogene","Pseudogenes"
"291","ENSMUSG00000094926","Gm16533","processed_pseudogene","Pseudogenes"
"292","ENSMUSG00000085079","Khdc1b","protein_coding","Protein Coding Genes"
"293","ENSMUSG00000085679","Gm16328","processed_pseudogene","Pseudogenes"
"294","ENSMUSG00000028033","Kcnq5","protein_coding","Protein Coding Genes"
"295","ENSMUSG00000104138","Gm36949","TEC","To be Experimentally Confirmed"
"296","ENSMUSG00000082935","Gm7658","processed_pseudogene","Pseudogenes"
"297","ENSMUSG00000103748","Gm38243","TEC","To be Experimentally Confirmed"
"298","ENSMUSG00000097109","Gm26580","lincRNA","Processed transcripts"
"299","ENSMUSG00000099692","Gm5696","processed_pseudogene","Pseudogenes"
"300","ENSMUSG00000100418","Gm28239","processed_pseudogene","Pseudogenes"
"301","ENSMUSG00000041670","Rims1","protein_coding","Protein Coding Genes"
"302","ENSMUSG00000097642","Gm26866","processed_pseudogene","Pseudogenes"
"303","ENSMUSG00000101468","Gm7761","processed_pseudogene","Pseudogenes"
"304","ENSMUSG00000101227","Gm29506","sense_overlapping","Processed transcripts"
"305","ENSMUSG00000073730","4933415F23Rik","protein_coding","Protein Coding Genes"
"306","ENSMUSG00000089553","Gm24176","snoRNA","Processed transcripts"
"307","ENSMUSG00000102766","Gm6420","TEC","To be Experimentally Confirmed"
"308","ENSMUSG00000065405","Mir30a","miRNA","Processed transcripts"
"309","ENSMUSG00000097970","Gm27028","lincRNA","Processed transcripts"
"310","ENSMUSG00000065567","Mir30c-2","miRNA","Processed transcripts"
"311","ENSMUSG00000100775","Gm29107","lincRNA","Processed transcripts"
"312","ENSMUSG00000101226","Gm20954","processed_pseudogene","Pseudogenes"
"313","ENSMUSG00000026158","Ogfrl1","protein_coding","Protein Coding Genes"
"314","ENSMUSG00000097920","Gm7784","processed_pseudogene","Pseudogenes"
"315","ENSMUSG00000099503","Gm28822","lincRNA","Processed transcripts"
"316","ENSMUSG00000026156","B3gat2","protein_coding","Protein Coding Genes"
"317","ENSMUSG00000026155","Smap1","protein_coding","Protein Coding Genes"
"318","ENSMUSG00000026154","Sdhaf4","protein_coding","Protein Coding Genes"
"319","ENSMUSG00000102495","Gm26524","TEC","To be Experimentally Confirmed"
"320","ENSMUSG00000026153","Fam135a","protein_coding","Protein Coding Genes"
"321","ENSMUSG00000102398","Gm37580","TEC","To be Experimentally Confirmed"
"322","ENSMUSG00000097670","Gm26607","processed_pseudogene","Pseudogenes"
"323","ENSMUSG00000026147","Col9a1","protein_coding","Protein Coding Genes"
"324","ENSMUSG00000026141","Col19a1","protein_coding","Protein Coding Genes"
"325","ENSMUSG00000077463","Gm26418","snoRNA","Processed transcripts"
"326","ENSMUSG00000099997","Tubb4b-ps2","processed_pseudogene","Pseudogenes"
"327","ENSMUSG00000100131","Gm28439","unprocessed_pseudogene","Pseudogenes"
"328","ENSMUSG00000067736","Gm10222","unprocessed_pseudogene","Pseudogenes"
"329","ENSMUSG00000101939","Gm28438","unprocessed_pseudogene","Pseudogenes"
"330","ENSMUSG00000101111","Gm28437","unprocessed_pseudogene","Pseudogenes"
"331","ENSMUSG00000100862","Gm10925","unprocessed_pseudogene","Pseudogenes"
"332","ENSMUSG00000102070","Gm28661","unprocessed_pseudogene","Pseudogenes"
"333","ENSMUSG00000101249","Gm29216","unprocessed_pseudogene","Pseudogenes"
"334","ENSMUSG00000073725","Lmbrd1","protein_coding","Protein Coding Genes"
"335","ENSMUSG00000100808","Gm28594","processed_pseudogene","Pseudogenes"
"336","ENSMUSG00000100483","Gm28237","lincRNA","Processed transcripts"
"337","ENSMUSG00000100450","Gm9443","processed_pseudogene","Pseudogenes"
"338","ENSMUSG00000099392","Gm29414","lincRNA","Processed transcripts"
"339","ENSMUSG00000033569","Adgrb3","protein_coding","Protein Coding Genes"
"340","ENSMUSG00000080849","Gm15702","processed_pseudogene","Pseudogenes"
"341","ENSMUSG00000104257","Gm20172","TEC","To be Experimentally Confirmed"
"342","ENSMUSG00000096866","Gm22260","snRNA","Processed transcripts"
"343","ENSMUSG00000102296","Gm37543","TEC","To be Experimentally Confirmed"
"344","ENSMUSG00000103209","Gm37331","TEC","To be Experimentally Confirmed"
"345","ENSMUSG00000104027","Gm37211","TEC","To be Experimentally Confirmed"
"346","ENSMUSG00000102407","Gm37862","TEC","To be Experimentally Confirmed"
"347","ENSMUSG00000103214","Gm38286","TEC","To be Experimentally Confirmed"
"348","ENSMUSG00000104100","Gm37880","TEC","To be Experimentally Confirmed"
"349","ENSMUSG00000084740","Gm25294","snRNA","Processed transcripts"
"350","ENSMUSG00000103889","Gm37011","TEC","To be Experimentally Confirmed"
"351","ENSMUSG00000101301","Gm29214","processed_pseudogene","Pseudogenes"
"352","ENSMUSG00000104221","Gm37051","TEC","To be Experimentally Confirmed"
"353","ENSMUSG00000102250","Gm38260","TEC","To be Experimentally Confirmed"
"354","ENSMUSG00000102317","Gm37628","TEC","To be Experimentally Confirmed"
"355","ENSMUSG00000103563","8030445P17Rik","TEC","To be Experimentally Confirmed"
"356","ENSMUSG00000102465","Gm38198","TEC","To be Experimentally Confirmed"
"357","ENSMUSG00000102659","Gm37077","TEC","To be Experimentally Confirmed"
"358","ENSMUSG00000103924","Gm37895","TEC","To be Experimentally Confirmed"
"359","ENSMUSG00000104132","Gm36952","TEC","To be Experimentally Confirmed"
"360","ENSMUSG00000102747","Gm37602","TEC","To be Experimentally Confirmed"
"361","ENSMUSG00000102386","2900022M07Rik","TEC","To be Experimentally Confirmed"
"362","ENSMUSG00000103004","2900002M20Rik","TEC","To be Experimentally Confirmed"
"363","ENSMUSG00000104516","Gm9884","TEC","To be Experimentally Confirmed"
